"Category","Unique"
"12/19",0
"12/20",0
"12/21",0
"12/22",0
"12/23",0
"12/24",0
"12/25",0
"12/26",0
"12/27",0
"12/28",0
"12/29",126
"12/30",162
"12/31",26
"01/01",65
